"activity" "subject" "variable" "meanvalue"
"1" "WALKING" 1 "tBodyAcc-mean()-X" 0.277330758736842
"2" "WALKING_UPSTAIRS" 1 "tBodyAcc-mean()-X" 0.255461689622641
"3" "WALKING_DOWNSTAIRS" 1 "tBodyAcc-mean()-X" 0.289188320408163
"4" "SITTING" 1 "tBodyAcc-mean()-X" 0.261237565425532
"5" "STANDING" 1 "tBodyAcc-mean()-X" 0.278917629056604
"6" "LAYING" 1 "tBodyAcc-mean()-X" 0.22159824394
"7" "WALKING" 2 "tBodyAcc-mean()-X" 0.276426586440678
"8" "WALKING_UPSTAIRS" 2 "tBodyAcc-mean()-X" 0.247164790395833
"9" "WALKING_DOWNSTAIRS" 2 "tBodyAcc-mean()-X" 0.27761534806383
"10" "SITTING" 2 "tBodyAcc-mean()-X" 0.27708735173913
"11" "STANDING" 2 "tBodyAcc-mean()-X" 0.277911472222222
"12" "LAYING" 2 "tBodyAcc-mean()-X" 0.281373403958333
"13" "WALKING" 3 "tBodyAcc-mean()-X" 0.275567462068966
"14" "WALKING_UPSTAIRS" 3 "tBodyAcc-mean()-X" 0.260819873067797
"15" "WALKING_DOWNSTAIRS" 3 "tBodyAcc-mean()-X" 0.292423484693878
"16" "SITTING" 3 "tBodyAcc-mean()-X" 0.257197599134615
"17" "STANDING" 3 "tBodyAcc-mean()-X" 0.280046513278689
"18" "LAYING" 3 "tBodyAcc-mean()-X" 0.275516852741935
"19" "WALKING" 4 "tBodyAcc-mean()-X" 0.278582015166667
"20" "WALKING_UPSTAIRS" 4 "tBodyAcc-mean()-X" 0.270876696730769
"21" "WALKING_DOWNSTAIRS" 4 "tBodyAcc-mean()-X" 0.279965329555556
"22" "SITTING" 4 "tBodyAcc-mean()-X" 0.27153827992
"23" "STANDING" 4 "tBodyAcc-mean()-X" 0.280499745892857
"24" "LAYING" 4 "tBodyAcc-mean()-X" 0.263559214981481
"25" "WALKING" 5 "tBodyAcc-mean()-X" 0.27784234625
"26" "WALKING_UPSTAIRS" 5 "tBodyAcc-mean()-X" 0.268459469914894
"27" "WALKING_DOWNSTAIRS" 5 "tBodyAcc-mean()-X" 0.29354392712766
"28" "SITTING" 5 "tBodyAcc-mean()-X" 0.273694139545455
"29" "STANDING" 5 "tBodyAcc-mean()-X" 0.282544390892857
"30" "LAYING" 5 "tBodyAcc-mean()-X" 0.278334325576923
"31" "WALKING" 6 "tBodyAcc-mean()-X" 0.283658868070175
"32" "WALKING_UPSTAIRS" 6 "tBodyAcc-mean()-X" 0.268229355098039
"33" "WALKING_DOWNSTAIRS" 6 "tBodyAcc-mean()-X" 0.277045258145833
"34" "SITTING" 6 "tBodyAcc-mean()-X" 0.276778487454545
"35" "STANDING" 6 "tBodyAcc-mean()-X" 0.280346248596491
"36" "LAYING" 6 "tBodyAcc-mean()-X" 0.248656520140351
"37" "WALKING" 7 "tBodyAcc-mean()-X" 0.275592961754386
"38" "WALKING_UPSTAIRS" 7 "tBodyAcc-mean()-X" 0.248706923078431
"39" "WALKING_DOWNSTAIRS" 7 "tBodyAcc-mean()-X" 0.28030708
"40" "SITTING" 7 "tBodyAcc-mean()-X" 0.284674637291667
"41" "STANDING" 7 "tBodyAcc-mean()-X" 0.282723539433962
"42" "LAYING" 7 "tBodyAcc-mean()-X" 0.250176694038462
"43" "WALKING" 8 "tBodyAcc-mean()-X" 0.27468631
"44" "WALKING_UPSTAIRS" 8 "tBodyAcc-mean()-X" 0.258880152048781
"45" "WALKING_DOWNSTAIRS" 8 "tBodyAcc-mean()-X" 0.283484089210526
"46" "SITTING" 8 "tBodyAcc-mean()-X" 0.267491472934783
"47" "STANDING" 8 "tBodyAcc-mean()-X" 0.279620986111111
"48" "LAYING" 8 "tBodyAcc-mean()-X" 0.261254282907407
"49" "WALKING" 9 "tBodyAcc-mean()-X" 0.278502842115385
"50" "WALKING_UPSTAIRS" 9 "tBodyAcc-mean()-X" 0.262436475714286
"51" "WALKING_DOWNSTAIRS" 9 "tBodyAcc-mean()-X" 0.295923445
"52" "SITTING" 9 "tBodyAcc-mean()-X" 0.24832674354
"53" "STANDING" 9 "tBodyAcc-mean()-X" 0.282310057333333
"54" "LAYING" 9 "tBodyAcc-mean()-X" 0.2591955368
"55" "WALKING" 10 "tBodyAcc-mean()-X" 0.278574076603774
"56" "WALKING_UPSTAIRS" 10 "tBodyAcc-mean()-X" 0.267121853404255
"57" "WALKING_DOWNSTAIRS" 10 "tBodyAcc-mean()-X" 0.290401594315789
"58" "SITTING" 10 "tBodyAcc-mean()-X" 0.270612056481481
"59" "STANDING" 10 "tBodyAcc-mean()-X" 0.276650300681818
"60" "LAYING" 10 "tBodyAcc-mean()-X" 0.280230574137931
"61" "WALKING" 11 "tBodyAcc-mean()-X" 0.271821892881356
"62" "WALKING_UPSTAIRS" 11 "tBodyAcc-mean()-X" 0.263775859277778
"63" "WALKING_DOWNSTAIRS" 11 "tBodyAcc-mean()-X" 0.291605631956522
"64" "SITTING" 11 "tBodyAcc-mean()-X" 0.276590197358491
"65" "STANDING" 11 "tBodyAcc-mean()-X" 0.277715562765957
"66" "LAYING" 11 "tBodyAcc-mean()-X" 0.280592970877193
"67" "WALKING" 12 "tBodyAcc-mean()-X" 0.2771286656
"68" "WALKING_UPSTAIRS" 12 "tBodyAcc-mean()-X" 0.272970338653846
"69" "WALKING_DOWNSTAIRS" 12 "tBodyAcc-mean()-X" 0.281521097391304
"70" "SITTING" 12 "tBodyAcc-mean()-X" 0.275007224901961
"71" "STANDING" 12 "tBodyAcc-mean()-X" 0.277405834918033
"72" "LAYING" 12 "tBodyAcc-mean()-X" 0.260113433
"73" "WALKING" 13 "tBodyAcc-mean()-X" 0.275883130350877
"74" "WALKING_UPSTAIRS" 13 "tBodyAcc-mean()-X" 0.258203939581818
"75" "WALKING_DOWNSTAIRS" 13 "tBodyAcc-mean()-X" 0.294907553404255
"76" "SITTING" 13 "tBodyAcc-mean()-X" 0.274328499591837
"77" "STANDING" 13 "tBodyAcc-mean()-X" 0.277758431052632
"78" "LAYING" 13 "tBodyAcc-mean()-X" 0.276716360483871
"79" "WALKING" 14 "tBodyAcc-mean()-X" 0.271959598644068
"80" "WALKING_UPSTAIRS" 14 "tBodyAcc-mean()-X" 0.26242106612963
"81" "WALKING_DOWNSTAIRS" 14 "tBodyAcc-mean()-X" 0.293422115555556
"82" "SITTING" 14 "tBodyAcc-mean()-X" 0.279990577037037
"83" "STANDING" 14 "tBodyAcc-mean()-X" 0.280545613833333
"84" "LAYING" 14 "tBodyAcc-mean()-X" 0.233275439803922
"85" "WALKING" 15 "tBodyAcc-mean()-X" 0.273899207962963
"86" "WALKING_UPSTAIRS" 15 "tBodyAcc-mean()-X" 0.270187595833333
"87" "WALKING_DOWNSTAIRS" 15 "tBodyAcc-mean()-X" 0.280198851190476
"88" "SITTING" 15 "tBodyAcc-mean()-X" 0.27290337979661
"89" "STANDING" 15 "tBodyAcc-mean()-X" 0.278915803962264
"90" "LAYING" 15 "tBodyAcc-mean()-X" 0.2894756525
"91" "WALKING" 16 "tBodyAcc-mean()-X" 0.276023564509804
"92" "WALKING_UPSTAIRS" 16 "tBodyAcc-mean()-X" 0.255986102627451
"93" "WALKING_DOWNSTAIRS" 16 "tBodyAcc-mean()-X" 0.295586802191489
"94" "SITTING" 16 "tBodyAcc-mean()-X" 0.280768574492754
"95" "STANDING" 16 "tBodyAcc-mean()-X" 0.283497402948718
"96" "LAYING" 16 "tBodyAcc-mean()-X" 0.274227162571429
"97" "WALKING" 17 "tBodyAcc-mean()-X" 0.272341855245902
"98" "WALKING_UPSTAIRS" 17 "tBodyAcc-mean()-X" 0.252604768583333
"99" "WALKING_DOWNSTAIRS" 17 "tBodyAcc-mean()-X" 0.29391828326087
"100" "SITTING" 17 "tBodyAcc-mean()-X" 0.2773570196875
"101" "STANDING" 17 "tBodyAcc-mean()-X" 0.277942503333333
"102" "LAYING" 17 "tBodyAcc-mean()-X" 0.269780085577465
"103" "WALKING" 18 "tBodyAcc-mean()-X" 0.273887758571429
"104" "WALKING_UPSTAIRS" 18 "tBodyAcc-mean()-X" 0.265401201896552
"105" "WALKING_DOWNSTAIRS" 18 "tBodyAcc-mean()-X" 0.288439468909091
"106" "SITTING" 18 "tBodyAcc-mean()-X" 0.27727001877193
"107" "STANDING" 18 "tBodyAcc-mean()-X" 0.278458805890411
"108" "LAYING" 18 "tBodyAcc-mean()-X" 0.274691576923077
"109" "WALKING" 19 "tBodyAcc-mean()-X" 0.273931172307692
"110" "WALKING_UPSTAIRS" 19 "tBodyAcc-mean()-X" 0.242118808925
"111" "WALKING_DOWNSTAIRS" 19 "tBodyAcc-mean()-X" 0.262688053871795
"112" "SITTING" 19 "tBodyAcc-mean()-X" 0.273830316164384
"113" "STANDING" 19 "tBodyAcc-mean()-X" 0.27817226
"114" "LAYING" 19 "tBodyAcc-mean()-X" 0.272653733493976
"115" "WALKING" 20 "tBodyAcc-mean()-X" 0.272589336470588
"116" "WALKING_UPSTAIRS" 20 "tBodyAcc-mean()-X" 0.252098317156863
"117" "WALKING_DOWNSTAIRS" 20 "tBodyAcc-mean()-X" 0.296144421355556
"118" "SITTING" 20 "tBodyAcc-mean()-X" 0.278045439090909
"119" "STANDING" 20 "tBodyAcc-mean()-X" 0.278076904657534
"120" "LAYING" 20 "tBodyAcc-mean()-X" 0.239507882205882
"121" "WALKING" 21 "tBodyAcc-mean()-X" 0.279183526730769
"122" "WALKING_UPSTAIRS" 21 "tBodyAcc-mean()-X" 0.265194544680851
"123" "WALKING_DOWNSTAIRS" 21 "tBodyAcc-mean()-X" 0.3014610196
"124" "SITTING" 21 "tBodyAcc-mean()-X" 0.277539616823529
"125" "STANDING" 21 "tBodyAcc-mean()-X" 0.27695224258427
"126" "LAYING" 21 "tBodyAcc-mean()-X" 0.271325472455556
"127" "WALKING" 22 "tBodyAcc-mean()-X" 0.27886459
"128" "WALKING_UPSTAIRS" 22 "tBodyAcc-mean()-X" 0.248391534566667
"129" "WALKING_DOWNSTAIRS" 22 "tBodyAcc-mean()-X" 0.284458963861111
"130" "SITTING" 22 "tBodyAcc-mean()-X" 0.273583822709677
"131" "STANDING" 22 "tBodyAcc-mean()-X" 0.279053861587302
"132" "LAYING" 22 "tBodyAcc-mean()-X" 0.279959721194444
"133" "WALKING" 23 "tBodyAcc-mean()-X" 0.273211884237288
"134" "WALKING_UPSTAIRS" 23 "tBodyAcc-mean()-X" 0.249995171031373
"135" "WALKING_DOWNSTAIRS" 23 "tBodyAcc-mean()-X" 0.289897411148148
"136" "SITTING" 23 "tBodyAcc-mean()-X" 0.273351251617647
"137" "STANDING" 23 "tBodyAcc-mean()-X" 0.277899323235294
"138" "LAYING" 23 "tBodyAcc-mean()-X" 0.274038007986111
"139" "WALKING" 24 "tBodyAcc-mean()-X" 0.276980816034483
